4x ,provedor,encargado,tel,email
0,Proveedor-0071,Ramiro Gutiérrez López,4421768014,example4421@mail.com.mx
1,Proveedor-0083,Adriana Guillén Gonzáles,4421465680,example4421@mail.com.mx
2,Proveedor-0033,Felipe Ignacio Cuero Gómez,4426945630,example4426@mail.com.mx
3,Proveedor-0100,Crisóforo Rodriguez Almiedo,4421182307,example4421@mail.com.mx
4,Proveedor-0093,Timoteo Ramirez Sánchez,4426051106,example4426@mail.com.mx
5,Proveedor-0012,Amairany Jímenez Robles,4427046906,example4427@mail.com.mx
6,Proveedor-0116,Luis Ángel Sánchez García,4421226294,example4421@mail.com.mx
7,Proveedor-0036,Donaldo Dominguez Hernández,4429164459,example4429@mail.com.mx
8,Proveedor-1607,Eduardo Gómez López,4421384700,example4421@mail.com.mx
9,Proveedor-1403,Luis Ángel Sánchez García,4421228672,example4421@mail.com.mx
